Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate if user can add members,Chrome 71.0.3578.98,,2019-02-04 19:15:54,2019-02-04 19:16:09,15.060s,PASSED
,,,,,,
Test Cases/TEMPLATES/LOGIN/LOGIN_TEMPLATE,Chrome 71.0.3578.98,,2019-02-04 19:15:54,2019-02-04 19:16:08,14.088s,PASSED
"openBrowser(""https://app.stratapp.ai/"")",Chrome 71.0.3578.98,,2019-02-04 19:15:54,2019-02-04 19:16:01,6.665s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-04 19:16:01,2019-02-04 19:16:02,1.131s,PASSED
"waitForElementPresent(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), 60)",Chrome 71.0.3578.98,,2019-02-04 19:16:02,2019-02-04 19:16:02,0.069s,PASSED
"setText(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), ""noreply@you-source.com"")",Chrome 71.0.3578.98,,2019-02-04 19:16:02,2019-02-04 19:16:02,0.206s,PASSED
"click(findTestObject(""LOGIN/NEXT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 19:16:02,2019-02-04 19:16:02,0.090s,PASSED
"isGoogle = verifyElementPresent(findTestObject(""LOGIN/GOOGLE_LABEL""), 60)",Chrome 71.0.3578.98,,2019-02-04 19:16:02,2019-02-04 19:16:03,0.768s,PASSED
if (isGoogle),Chrome 71.0.3578.98,,2019-02-04 19:16:03,2019-02-04 19:16:08,4.699s,PASSED
"waitForElementPresent(findTestObject(""HOME/HEADLINES_TAB""), 60)",Chrome 71.0.3578.98,,2019-02-04 19:16:08,2019-02-04 19:16:08,0.022s,PASSED
stratapp.Login.GetUserName(),Chrome 71.0.3578.98,,2019-02-04 19:16:08,2019-02-04 19:16:08,0.086s,PASSED
"stratapp.Members.VerifyMember(""Test"", ""Test1;Test2"")",Chrome 71.0.3578.98,,2019-02-04 19:16:08,2019-02-04 19:16:08,0.019s,PASSED
