Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate if user can add related topic,Chrome 71.0.3578.98,,2019-02-04 15:20:26,2019-02-04 15:21:03,37.366s,ERROR
,,,,,,
Test Cases/TEMPLATES/LOGIN/LOGIN_TEMPLATE,Chrome 71.0.3578.98,,2019-02-04 15:20:26,2019-02-04 15:20:43,16.380s,PASSED
"openBrowser(""https://app.stratapp.ai/"")",Chrome 71.0.3578.98,,2019-02-04 15:20:27,2019-02-04 15:20:35,8.477s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-04 15:20:35,2019-02-04 15:20:36,1.134s,PASSED
"waitForElementPresent(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:36,2019-02-04 15:20:36,0.116s,PASSED
"setText(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), ""noreply@you-source.com"")",Chrome 71.0.3578.98,,2019-02-04 15:20:36,2019-02-04 15:20:37,0.194s,PASSED
"click(findTestObject(""LOGIN/NEXT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 15:20:37,2019-02-04 15:20:37,0.088s,PASSED
"isGoogle = verifyElementPresent(findTestObject(""LOGIN/GOOGLE_LABEL""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:37,2019-02-04 15:20:38,0.942s,PASSED
if (isGoogle),Chrome 71.0.3578.98,,2019-02-04 15:20:38,2019-02-04 15:20:43,4.959s,PASSED
"waitForElementPresent(findTestObject(""HOME/HEADLINES_TAB""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:43,2019-02-04 15:20:43,0.029s,PASSED
stratapp.Login.GetUserName(),Chrome 71.0.3578.98,,2019-02-04 15:20:43,2019-02-04 15:20:43,0.118s,PASSED
,,,,,,
Test Cases/TEMPLATES/IDEATION/IDEA/IDEA_ADD_TEMPLATE,Chrome 71.0.3578.98,,2019-02-04 15:20:43,2019-02-04 15:20:57,14.451s,PASSED
"waitForElementClickable(findTestObject(""MENU/IDEATION_TAB""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:43,2019-02-04 15:20:44,0.351s,PASSED
"mouseOver(findTestObject(""MENU/IDEATION_TAB""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-04 15:20:44,2019-02-04 15:20:44,0.118s,PASSED
"click(findTestObject(""MENU/IDEATION_TAB""))",Chrome 71.0.3578.98,,2019-02-04 15:20:44,2019-02-04 15:20:44,0.229s,PASSED
"waitForElementPresent(findTestObject(""IDEATION/TABS/IDEAS_TAB""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:44,2019-02-04 15:20:44,0.035s,PASSED
"mouseOver(findTestObject(""IDEATION/TABS/IDEAS_TAB""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-04 15:20:44,2019-02-04 15:20:44,0.338s,PASSED
"click(findTestObject(""IDEATION/TABS/IDEAS_TAB""))",Chrome 71.0.3578.98,,2019-02-04 15:20:44,2019-02-04 15:20:44,0.167s,PASSED
"waitForElementClickable(findTestObject(""IDEATION/IDEAS/LV_PLUS_SIGN_BUTTON""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:45,2019-02-04 15:20:45,0.043s,PASSED
"mouseOver(findTestObject(""IDEATION/IDEAS/LV_PLUS_SIGN_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 15:20:45,2019-02-04 15:20:45,0.671s,PASSED
"click(findTestObject(""IDEATION/IDEAS/LV_PLUS_SIGN_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 15:20:45,2019-02-04 15:20:45,0.157s,PASSED
"click(findTestObject(""IDEATION/IDEAS/LV_ADD_IDEA_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 15:20:45,2019-02-04 15:20:46,0.442s,PASSED
"setText(findTestObject(""IDEATION/IDEAS/OC_TITLE_TEXTFIELD""), IDEA_TITLE)",Chrome 71.0.3578.98,,2019-02-04 15:20:46,2019-02-04 15:20:46,0.617s,PASSED
"sendKeys(findTestObject(""IDEATION/IDEAS/OC_TITLE_TEXTFIELD""), Keys.chord(TAB))",Chrome 71.0.3578.98,,2019-02-04 15:20:46,2019-02-04 15:20:47,0.097s,PASSED
"waitForElementVisible(findTestObject(""IDEATION/IDEAS/OC_STATUS_FIELD""), 0)",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:47,0.103s,PASSED
"mouseOver(findTestObject(""IDEATION/IDEAS/OC_STATUS_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:47,0.070s,PASSED
"click(findTestObject(""IDEATION/IDEAS/OC_STATUS_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:47,0.335s,PASSED
"waitForElementVisible(findTestObject(""IDEATION/IDEAS/OC_STATUS_DROPDOWN""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:47,0.056s,PASSED
"stratapp.Dropdown.Select(findTestObject(""IDEATION/IDEAS/OC_STATUS_DROPDOWN""), IDEA_STATUS)",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:47,0.306s,PASSED
"mouseOver(findTestObject(""IDEATION/IDEAS/OC_IMPORTANCE_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:47,0.061s,PASSED
"click(findTestObject(""IDEATION/IDEAS/OC_IMPORTANCE_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:47,2019-02-04 15:20:48,0.202s,PASSED
"stratapp.Dropdown.Select(findTestObject(""IDEATION/IDEAS/OC_IMPORTANCE_DROPDOWN""), IDEA_IMPORTANCE)",Chrome 71.0.3578.98,,2019-02-04 15:20:48,2019-02-04 15:20:48,0.290s,PASSED
"mouseOver(findTestObject(""IDEATION/IDEAS/OC_SECURITY_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:48,2019-02-04 15:20:48,0.056s,PASSED
"click(findTestObject(""IDEATION/IDEAS/OC_SECURITY_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:48,2019-02-04 15:20:48,0.170s,PASSED
"stratapp.Dropdown.Select(findTestObject(""IDEATION/IDEAS/OC_SECURITY_DROPDOWN""), IDEA_SECURITY)",Chrome 71.0.3578.98,,2019-02-04 15:20:48,2019-02-04 15:20:48,0.202s,PASSED
"mouseOver(findTestObject(""IDEATION/IDEAS/OC_SOURCE_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:48,2019-02-04 15:20:48,0.042s,PASSED
"click(findTestObject(""IDEATION/IDEAS/OC_SOURCE_FIELD""))",Chrome 71.0.3578.98,,2019-02-04 15:20:48,2019-02-04 15:20:49,0.180s,PASSED
"mouseOver(findTestObject(""IDEATION/IDEAS/OC_SOURCE_TYPE_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 15:20:49,2019-02-04 15:20:49,0.075s,PASSED
"click(findTestObject(""IDEATION/IDEAS/OC_SOURCE_TYPE_BUTTON""))",Chrome 71.0.3578.98,,2019-02-04 15:20:49,2019-02-04 15:20:49,0.182s,PASSED
"waitForElementVisible(findTestObject(""IDEATION/IDEAS/OC_STATUS_DROPDOWN""), 60)",Chrome 71.0.3578.98,,2019-02-04 15:20:49,2019-02-04 15:20:49,0.029s,PASSED
